,House Age,Distance from nearest Metro station (km),Number of convenience stores,latitude,longitude,Number of bedrooms,House size (sqft),prices,location
0,32.0,-0.7976739660763661,10,24.98298,121.54024,1,575,21792.5,1
1,19.5,-0.6224005066440766,9,24.98034,121.53951,2,1240,52328.0,1
2,13.3,-0.4205067417512755,5,24.98746,121.54391,3,1060,50138.0,1
3,13.3,-0.4205067417512755,5,24.98746,121.54391,2,875,47950.0,1
4,5.0,-0.5560166242612304,5,24.97937,121.54245,1,491,21162.100000000002,1
5,7.1,0.8546570625133854,3,24.96305,121.51254,3,828,26578.800000000003,0
6,34.5,-0.3718980465254384,7,24.97933,121.53642,3,1115,44934.5,1
7,20.3,-0.6374144451866381,6,24.98042,121.54228,3,1316,61457.200000000004,1
8,31.7,3.4926680895684843,1,24.95095,121.48458,1,588,11054.4,2
9,17.9,0.5448871665612207,3,24.96731,121.51486,2,1075,23757.5,0
10,34.8,-0.5444392856719247,1,24.97349,121.53372,1,466,19292.399999999998,1
11,6.3,-0.7932649803560643,9,24.97433,121.5431,3,1423,82676.3,1
12,13.0,-0.4756488663048816,5,24.96515,121.53737,3,1172,46059.6,3
13,20.4,1.0875595963808011,4,24.96108,121.51046,3,928,22086.4,0
14,13.2,0.05606813631277511,4,24.99156,121.53406,1,512,17561.6,1
15,35.7,-0.4068907796895149,2,24.9824,121.54619,2,1322,66761.0,1
16,17.7,-0.5874140977346068,1,24.97544,121.53119,1,568,21243.2,1
17,16.9,-0.5737499132314704,8,24.9675,121.54451,3,1291,54609.299999999996,3
18,1.5,-0.8462884954270778,7,24.96772,121.54102,2,1223,58337.100000000006,3
19,4.5,0.9343798255530379,3,24.96314,121.51151,2,1487,43569.1,0
20,10.5,-0.644078549425217,7,24.97528,121.54541,3,1496,77193.6,1
21,14.7,0.21045979242953836,1,24.95204,121.54842,3,1437,35350.200000000004,3
22,10.1,-0.644078549425217,7,24.97528,121.54541,2,1262,60449.799999999996,1
23,39.6,-0.48476654417129444,4,24.97353,121.53885,1,443,17188.399999999998,1
24,29.3,0.31143363201119983,2,24.97542,121.51726,3,1011,27297.0,0
25,3.1,-0.561317930685258,5,24.98085,121.54391,3,1133,63674.600000000006,1
26,10.4,-0.6462316419060523,5,24.95593,121.53913,3,941,31617.600000000002,3
27,19.2,-0.4240692734243863,4,24.97419,121.53797,3,1130,53110.0,1
28,7.1,-0.5080507895161598,5,24.97563,121.54694,1,476,27179.600000000002,1
29,25.9,2.708185413268016,0,24.94826,121.49587,2,1024,22630.4,2
30,29.6,-0.2565355000222658,7,24.98281,121.53408,2,1478,36950.0,1
31,37.9,-0.4785411060428696,1,24.97349,121.53451,3,978,33447.600000000006,1
32,16.5,-0.6089137965358395,6,24.97841,121.54281,1,566,27903.8,1
33,15.4,-0.7024242251498236,7,24.98419,121.54243,3,1206,66450.6,1
34,13.9,2.360136385245428,0,25.01459,121.51816,2,1249,34097.700000000004,1
35,14.7,0.6649128231454268,2,24.96386,121.51458,2,1131,25899.899999999998,0
36,12.0,0.21045979242953836,1,24.95204,121.54842,1,511,12928.300000000001,3
37,3.1,-0.4078764147699619,6,24.97201,121.54722,1,599,28572.300000000003,1
38,16.2,-0.6360529122230081,5,24.98203,121.54348,3,1236,57103.200000000004,1
39,13.6,2.362189396397113,0,24.94155,121.50381,1,558,8872.2,2
40,16.8,2.3499930713881807,0,24.94297,121.50342,2,1333,24260.6,2
41,36.1,-0.4541223684747532,5,24.96305,121.53758,3,975,33832.5,3
42,34.4,-0.4593988521994496,6,24.98748,121.54301,1,447,15242.7,1
43,2.7,-0.4430434602016343,4,24.97445,121.54765,3,1314,70824.59999999999,1
44,36.6,-0.4783461608946194,8,24.97015,121.54494,1,572,21907.6,3
45,21.7,-0.4979964104893188,9,24.9703,121.54458,1,557,23394.0,3
46,35.9,-0.3582487240206277,3,24.97563,121.53715,3,867,53320.5,1
47,24.2,2.7762177916672695,0,24.94684,121.49578,1,470,6298.0,2
48,29.4,2.7008089608011807,1,24.94925,121.49542,2,1227,16196.4,2
49,21.7,-0.45958731498672784,4,24.974,121.53842,3,1077,47603.4,1
50,31.3,0.5253025311080652,1,24.95402,121.55282,2,1016,21031.2,3
51,32.1,0.27246910884777953,3,24.97419,121.5175,2,809,21843.0,0
52,13.3,-0.4756488663048816,5,24.96515,121.53737,1,421,16376.9,3
53,16.1,-0.6360529122230081,5,24.98203,121.54348,2,1193,61678.100000000006,1
54,31.7,0.052743159453326915,0,24.94968,121.53009,3,1036,14193.199999999999,3
55,33.6,-0.5712888295512911,8,24.97254,121.54059,3,883,36997.7,1
56,3.5,-0.8201286826604314,7,24.95744,121.53711,1,548,29318.0,3
57,30.3,2.7008089608011807,1,24.94925,121.49542,2,1167,26374.2,2
