,Product name in Flipkart,Retail Price in Flipkart,Discounted Price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted Price in Amazon
0,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,FabHomeDecor Fabric Double Sofa Bed,32143,29121
1,AW Bellies,999.0,499.0,AW Bellies,991,551
2,Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,Sicons All Purpose Arnica Dog Shampoo,208,258
3,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,430.0,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,427,473
4,"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,349.0,"dilli bazaaar Bellies, Corporate Casuals, Casuals",682,385
5,Ladela Bellies,1724.0,950.0,Ladela Bellies,1705,1119
6,Carrel Printed Women's,2299.0,910.0,Carrel Printed Women's,2281,1080
7,Freelance Vacuum Bottles 350 ml Bottle,699.0,699.0,Freelance Vacuum Bottles 350 ml Bottle,690,822
8,Style Foot Bellies,899.0,449.0,Style Foot Bellies,894,514
9,Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0,SICONS CONDITIONING CONDITONER DOG SHAMPOO,97,119
10,dongli Printed Boy's Round Neck T-Shirt,2400.0,1039.0,DONGLI PRINTED BOY'S ROUND NECK T-SHIRT,2382,1254
11,SWAGGA Women Clogs,1500.0,1500.0,SWAGGA WOMEN CLOGS,1490,1821
12,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,190.0,KENNEL RUBBER DUMBELL WITH BELL - SMALL RUBBER RUBBER TOY FOR DOG,185,209
13,Glus Wedding Lingerie Set,1299.0,699.0,GLUS WEDDING LINGERIE SET,1295,869
14,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,2499.0,VEELYS SHINY WHITE QUAD ROLLER SKATES - SIZE 4.5 UK,3193,2835
15,Bulaky vanity case Jewellery Vanity Case,499.0,390.0,BULAKY VANITY CASE JEWELLERY VANITY CASE,488,490
16,FDT Women's Leggings,699.0,309.0,FDT WOMEN'S Leggings Pants,698,362
17,Madcaps C38GR30 Men's Cargos,2199.0,1699.0,MADCAPS C38GR30 MEN'S CARGOS,2183,2100
18,Bengal Blooms Rose Artificial Plant  with Pot,799.0,579.0,BENGAL BLOOMS ROSE ARTIFICIAL PLANT  WITH POT,783,710
19,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0,699.0,INDCROWN NET EMBROIDERED SEMI-STITCHED LEHENGA CHOLI MATERIAL,994,854
20,Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,483,347
21,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000.0,837.0,"TIARA DIARIES 2016-2017 DESIGNER LA KAARTA ""TAKING ACTION GETTING RESULT"" (SET OF 3) B5 NOTEBOOK HARD BOUND",993,1019
22,KAJCI Embroidered Women's Waistcoat,1200.0,699.0,KAJCI EMBROIDERED WOMEN'S WAISTCOAT,1183,822
23,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350.0,298.0,PACKMAN 8 X 10 INCHES SECURITY BAGS WITHOUT POD JACKET COURIER BAG SECURITY BAG,347,343
24,Pick Pocket Embroidered Women's Waistcoat,899.0,899.0,PICK POCKET EMBROIDERED WOMEN'S WAISTCOAT,886,1167
25,Angelfish Silk Potali Potli,999.0,399.0,ANGELFISH SILK POTALI POTLI,983,482
26,Oye Boy's Dungaree,899.0,764.0,OYE BOY'S DUNGAREE,893,985
27,Nuride Canvas Shoes,1999.0,1349.0,NURIDE CANVAS SHOES,1990,1625
28,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,1499.0,OM SHIVAKRITI SQUARE WALL CLOCK SHOWPIECE  -  38.1 CM,1480,1786
29,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,1899.0,HIMMLISCH ST381 MAGNETIC SUN SHADE FOR MARUTI ALTO,6990,2313
30,Rapter BNC-179 BNC Wire Connector,2299.0,1400.0,RAPTER BNC-179 BNC WIRE CONNECTOR,2279,1582
31,Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,987,562
32,Vishudh Printed Women's Anarkali Kurta,2099.0,1049.0,VISHUDH PRINTED WOMEN'S ANARKALI KURTA,2089,1161
33,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,5000.0,BUILDTRACK PIR WIRELESS MOTION SENSOR - ONE SWITCH CONTROL WIRELESS SENSOR SECURITY SYSTEM,6482,6153
34,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,SKAYVON SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,9972,6022
35,MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1396,686
36,Rapter BNC-047 BNC Wire Connector,1299.0,899.0,RAPTER BNC-047 BNC WIRE CONNECTOR,1288,1023
37,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,8999.0,4990.0,SKAYVON SUBMERSIBBLE THREE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,8979,5877
38,Behringer Xenyx 502 Analog Sound Mixer,10000.0,6600.0,BEHRINGER XENYX 502 ANALOG SOUND MIXER,9984,7854
