,House Age,Distance from nearest Metro station (km),Number of convenience stores,latitude,longitude,Number of bedrooms,House size (sqft),prices
0,32.0,84.87882,2.007407429959751,24.98298,121.54024,1,575,21792.5
1,19.5,306.5947,1.6675028589972412,24.98034,121.53951,2,1240,52328.0
2,13.3,561.9845,0.30788457514720113,24.98746,121.54391,3,1060,50138.0
3,13.3,561.9845,0.30788457514720113,24.98746,121.54391,2,875,47950.0
4,5.0,390.5684,0.30788457514720113,24.97937,121.54245,1,491,21162.100000000002
5,7.1,2175.03,-0.37192456677781893,24.96305,121.51254,3,828,26578.800000000003
6,34.5,623.4731,0.9876937170722212,24.97933,121.53642,3,1115,44934.5
7,20.3,287.6025,0.6477891461097112,24.98042,121.54228,3,1316,61457.200000000004
8,31.7,5512.038,-1.051733708702839,24.95095,121.48458,1,588,11054.4
9,17.9,1783.18,-0.37192456677781893,24.96731,121.51486,2,1075,23757.5
10,34.8,405.2134,-1.051733708702839,24.97349,121.53372,1,466,19292.399999999998
11,6.3,90.45606,1.6675028589972412,24.97433,121.5431,3,1423,82676.3
12,13.0,492.2313,0.30788457514720113,24.96515,121.53737,3,1172,46059.6
13,20.4,2469.645,-0.032019995815308906,24.96108,121.51046,3,928,22086.4
14,13.2,1164.838,-0.032019995815308906,24.99156,121.53406,1,512,17561.6
15,35.7,579.2083,-0.711829137740329,24.9824,121.54619,2,1322,66761.0
16,0.0,292.9978,0.6477891461097112,24.97744,121.54458,3,1441,101014.09999999999
17,17.7,350.8515,-1.051733708702839,24.97544,121.53119,1,568,21243.2
18,16.9,368.1363,1.3275982880347312,24.9675,121.54451,3,1291,54609.299999999996
19,1.5,23.38284,0.9876937170722212,24.96772,121.54102,2,1223,58337.100000000006
20,4.5,2275.877,-0.37192456677781893,24.96314,121.51151,2,1487,43569.1
21,10.5,279.1726,0.9876937170722212,24.97528,121.54541,3,1496,77193.6
22,14.7,1360.139,-1.051733708702839,24.95204,121.54842,3,1437,35350.200000000004
23,10.1,279.1726,0.9876937170722212,24.97528,121.54541,2,1262,60449.799999999996
24,39.6,480.6977,-0.032019995815308906,24.97353,121.53885,1,443,17188.399999999998
25,29.3,1487.868,-0.711829137740329,24.97542,121.51726,3,1011,27297.0
26,3.1,383.8624,0.30788457514720113,24.98085,121.54391,3,1133,63674.600000000006
27,10.4,276.449,0.30788457514720113,24.95593,121.53913,3,941,31617.600000000002
28,19.2,557.478,-0.032019995815308906,24.97419,121.53797,3,1130,53110.0
29,7.1,451.2438,0.30788457514720113,24.97563,121.54694,1,476,27179.600000000002
30,25.9,4519.69,-1.391638279665349,24.94826,121.49587,2,1024,22630.4
31,29.6,769.4034,0.9876937170722212,24.98281,121.53408,2,1478,36950.0
32,37.9,488.5727,-1.051733708702839,24.97349,121.53451,3,978,33447.600000000006
33,16.5,323.655,0.6477891461097112,24.97841,121.54281,1,566,27903.8
34,15.4,205.367,0.9876937170722212,24.98419,121.54243,3,1206,66450.6
35,13.9,4079.418,-1.391638279665349,25.01459,121.51816,2,1249,34097.700000000004
36,14.7,1935.009,-0.711829137740329,24.96386,121.51458,2,1131,25899.899999999998
37,12.0,1360.139,-1.051733708702839,24.95204,121.54842,1,511,12928.300000000001
38,3.1,577.9615,0.6477891461097112,24.97201,121.54722,1,599,28572.300000000003
39,16.2,289.3248,0.30788457514720113,24.98203,121.54348,3,1236,57103.200000000004
40,13.6,4082.015,-1.391638279665349,24.94155,121.50381,1,558,8872.2
41,16.8,4066.587,-1.391638279665349,24.94297,121.50342,2,1333,24260.6
42,36.1,519.4617,0.30788457514720113,24.96305,121.53758,3,975,33832.5
43,34.4,512.7871,0.6477891461097112,24.98748,121.54301,1,447,15242.7
44,2.7,533.4762,-0.032019995815308906,24.97445,121.54765,3,1314,70824.59999999999
45,36.6,488.8193,1.3275982880347312,24.97015,121.54494,1,572,21907.6
46,21.7,463.9623,1.6675028589972412,24.9703,121.54458,1,557,23394.0
47,35.9,640.7391,-0.37192456677781893,24.97563,121.53715,3,867,53320.5
48,24.2,4605.749,-1.391638279665349,24.94684,121.49578,1,470,6298.0
49,29.4,4510.359,-1.051733708702839,24.94925,121.49542,2,1227,16196.4
50,21.7,512.5487,-0.032019995815308906,24.974,121.53842,3,1077,47603.4
51,31.3,1758.406,-1.051733708702839,24.95402,121.55282,2,1016,21031.2
52,32.1,1438.579,-0.37192456677781893,24.97419,121.5175,2,809,21843.0
53,13.3,492.2313,0.30788457514720113,24.96515,121.53737,1,421,16376.9
54,16.1,289.3248,0.30788457514720113,24.98203,121.54348,2,1193,61678.100000000006
55,31.7,1160.632,-1.391638279665349,24.94968,121.53009,3,1036,14193.199999999999
56,33.6,371.2495,1.3275982880347312,24.97254,121.54059,3,883,36997.7
57,3.5,56.47425,0.9876937170722212,24.95744,121.53711,1,548,29318.0
58,30.3,4510.359,-1.051733708702839,24.94925,121.49542,2,1167,26374.2
59,13.3,336.0532,0.30788457514720113,24.95776,121.53438,2,1046,44350.4
60,11.0,1931.207,-0.711829137740329,24.96365,121.51471,1,450,9585.0
61,5.3,259.6607,0.6477891461097112,24.97585,121.54516,3,1083,68445.6
62,17.2,2175.877,-0.37192456677781893,24.96303,121.51254,3,1073,29722.1
63,2.6,533.4762,-0.032019995815308906,24.97445,121.54765,2,1309,71995.0
64,17.5,995.7554,-1.391638279665349,24.96305,121.54915,2,862,21808.600000000002
65,40.1,123.7429,1.3275982880347312,24.97635,121.54329,3,1351,59849.299999999996
66,1.0,193.5845,0.6477891461097112,24.96571,121.54089,2,1144,58000.8
67,8.5,104.8101,0.30788457514720113,24.96674,121.54067,2,1425,80940.0
68,30.4,464.223,0.6477891461097112,24.97964,121.53805,3,1303,47168.600000000006
69,12.5,561.9845,0.30788457514720113,24.98746,121.54391,1,581,24402.0
70,6.6,90.45606,1.6675028589972412,24.97433,121.5431,3,927,54693.0
71,35.5,640.7391,-0.37192456677781893,24.97563,121.53715,1,533,21746.399999999998
72,32.5,424.5442,1.3275982880347312,24.97587,121.53913,2,1392,50529.6
73,13.8,4082.015,-1.391638279665349,24.94155,121.50381,3,1176,23520.0
74,6.8,379.5575,2.007407429959751,24.98343,121.53762,3,1084,58969.6
75,12.3,1360.139,-1.051733708702839,24.95204,121.54842,1,492,14514.0
76,35.9,616.4004,-0.37192456677781893,24.97723,121.53767,2,1262,46441.6
77,20.5,2185.128,-0.37192456677781893,24.96322,121.51237,2,1308,33484.8
78,38.2,552.4371,-0.711829137740329,24.97598,121.53381,1,459,13678.2
79,18.0,1414.837,-1.051733708702839,24.95182,121.54887,2,958,25387.0
80,11.8,533.4762,-0.032019995815308906,24.97445,121.54765,1,488,19666.399999999998
81,30.8,377.7956,0.6477891461097112,24.96427,121.53964,1,466,17148.8
82,13.2,150.9347,0.9876937170722212,24.96725,121.54252,2,1339,64405.9
83,25.3,2707.392,-0.37192456677781893,24.96056,121.50831,3,1186,20992.2
84,15.1,383.2805,0.9876937170722212,24.96735,121.54464,2,1154,50429.8
85,0.0,338.9679,1.6675028589972412,24.96853,121.54413,2,1145,58166.0
86,1.8,1455.798,-1.051733708702839,24.9512,121.549,1,515,13905.0
87,16.9,4066.587,-1.391638279665349,24.94297,121.50342,3,878,16067.400000000001
88,8.9,1406.43,-1.391638279665349,24.98573,121.52758,2,915,43920.0
89,23.0,3947.945,-1.391638279665349,24.94783,121.50243,1,471,11916.300000000001
90,0.0,274.0144,-1.051733708702839,24.9748,121.53059,2,954,43311.6
91,9.1,1402.016,-1.391638279665349,24.98569,121.5276,1,426,18403.2
92,20.6,2469.645,-0.032019995815308906,24.96108,121.51046,3,1316,28688.8
93,31.9,1146.329,-1.391638279665349,24.9492,121.53076,1,536,8629.6
94,40.9,167.5989,0.30788457514720113,24.9663,121.54026,2,984,40344.0
95,8.0,104.8101,0.30788457514720113,24.96674,121.54067,3,1250,64750.0
96,6.4,90.45606,1.6675028589972412,24.97433,121.5431,3,1158,68901.0
97,28.4,617.4424,-0.37192456677781893,24.97746,121.53299,3,828,28648.800000000003
98,16.4,289.3248,0.30788457514720113,24.98203,121.54348,3,1323,67473.0
99,6.4,90.45606,1.6675028589972412,24.97433,121.5431,1,514,31970.800000000003
100,17.5,964.7496,-0.032019995815308906,24.98872,121.53411,2,926,35373.200000000004
101,12.7,170.1289,-1.051733708702839,24.97371,121.52984,3,879,28919.1
102,1.1,193.5845,0.6477891461097112,24.96571,121.54089,3,1028,55923.2
103,0.0,208.3905,0.6477891461097112,24.95618,121.53844,1,554,25317.800000000003
104,32.7,392.4459,0.6477891461097112,24.96398,121.5425,1,471,14365.5
105,0.0,292.9978,0.6477891461097112,24.97744,121.54458,1,570,40470.0
106,17.2,189.5181,1.3275982880347312,24.97707,121.54308,3,871,41024.1
107,12.2,1360.139,-1.051733708702839,24.95204,121.54842,3,913,24285.800000000003
108,31.4,592.5006,-0.711829137740329,24.9726,121.53561,2,945,32224.5
109,4.0,2147.376,-0.37192456677781893,24.96299,121.51284,2,1044,29649.6
110,8.1,104.8101,0.30788457514720113,24.96674,121.54067,2,847,43705.200000000004
111,33.3,196.6172,0.9876937170722212,24.97701,121.54224,2,1136,44758.4
112,9.9,2102.427,-0.37192456677781893,24.96044,121.51462,1,414,9563.400000000001
113,14.8,393.2606,0.6477891461097112,24.96172,121.53812,2,1365,10374.0
114,30.6,143.8383,1.3275982880347312,24.98155,121.54142,3,1222,65132.6
115,20.6,737.9161,-0.711829137740329,24.98092,121.54739,1,441,20462.399999999998
116,30.9,6396.283,-1.051733708702839,24.94375,121.47883,1,495,6039.0
117,13.6,4197.349,-1.391638279665349,24.93885,121.50383,3,1207,15691.0
118,25.3,1583.722,-0.37192456677781893,24.96622,121.51709,1,470,14382.0
119,16.6,289.3248,0.30788457514720113,24.98203,121.54348,1,548,32660.8
120,13.3,492.2313,0.30788457514720113,24.96515,121.53737,3,1224,38311.200000000004
121,13.6,492.2313,0.30788457514720113,24.96515,121.53737,1,443,21264.0
122,31.5,414.9476,-0.032019995815308906,24.98199,121.54464,3,840,27300.0
123,0.0,185.4296,-1.391638279665349,24.9711,121.5317,3,818,37219.0
124,9.9,279.1726,0.9876937170722212,24.97528,121.54541,1,493,28298.2
125,1.1,193.5845,0.6477891461097112,24.96571,121.54089,2,952,46267.200000000004
126,38.6,804.6897,-0.032019995815308906,24.97838,121.53477,1,472,29688.8
127,3.8,383.8624,0.30788457514720113,24.98085,121.54391,2,1136,62480.0
128,41.3,124.9912,0.6477891461097112,24.96674,121.54039,1,417,25311.9
129,38.5,216.8329,0.9876937170722212,24.98086,121.54162,2,1284,52644.0
130,29.6,535.527,1.3275982880347312,24.98092,121.53653,3,1190,44625.0
131,4.0,2147.376,-0.37192456677781893,24.96299,121.51284,1,565,17345.5
132,26.6,482.7581,0.30788457514720113,24.97433,121.53863,3,1166,43725.0
133,18.0,373.3937,1.3275982880347312,24.9866,121.54082,1,406,16037.0
134,33.4,186.9686,0.6477891461097112,24.96604,121.54211,3,1246,52581.200000000004
135,18.9,1009.235,-1.391638279665349,24.96357,121.54951,2,1147,23857.600000000002
136,11.4,390.5684,0.30788457514720113,24.97937,121.54245,1,453,21200.399999999998
137,13.6,319.0708,0.6477891461097112,24.96495,121.54277,1,429,20334.6
138,10.0,942.4664,-1.391638279665349,24.97843,121.52406,3,1340,58290.0
139,12.9,492.2313,0.30788457514720113,24.96515,121.53737,1,538,22865.0
140,16.2,289.3248,0.30788457514720113,24.98203,121.54348,1,486,24980.399999999998
